state,admin1_pcode,district,township,admin3_pcode,population_2021_proj,fs_pin,fs_targeted,battles,explosions_remote_violence,protests_and_riots,strategic_developments,violence_against_civilians,conflict_score,fatalities,area_sown_acres,population_density,flood_prob,flood_count,beneficiaries_2021,partners_2021,ben_6_months,not_in_6months,conflict_ranking,flood_ranking,fs_pin_ranking,fs_target_ranking,fs_pin_pc,pin_pop,group
Yangon,MMR013,Yangon (South),Cocokyun,MMR013032,2257.670170395138,632.5,631.8523867747328,NA,NA,NA,NA,NA,0,NA,NA,58.509558174434844,0,NA,0,0,NA,1,298,10,319,247,4.7835241041107374e-5,0.2801560689838497,B2
Yangon,MMR013,Yangon (West),Kyauktada,MMR013033,34741.35443134332,9727.5,9728.420777423498,2,9,11,45,8,0.1105955919833126,11,NA,42503.929635908185,0.13333333333333333,2,0,0,NA,1,57,8,294,80,7.356795371183747e-4,0.2799977191224284,A1
Yangon,MMR013,Yangon (West),Pabedan,MMR013034,38794.68701045995,10862.5,10863.487658962093,0,1,0,1,1,0.00352938877316453,1,NA,53930.19801591035,0.13333333333333333,2,0,0,NA,1,278,8,290,74,8.215182700538005e-4,0.27999968132417763,B1
Yangon,MMR013,Yangon (West),Lanmadaw,MMR013035,54882.332595791086,15367.5,15366.946873362167,0,8,2,2,2,0.02231444804833636,2,NA,35986.57603000912,0.13333333333333333,2,0,0,NA,1,175,8,271,54,0.0011622261924098302,0.2800081423867638,B1
Yangon,MMR013,Yangon (West),Latha,MMR013036,29160.02137092318,8165,8165.194020751816,0,4,0,0,2,0.00755447967299873,2,NA,41462.9237863362,0.13333333333333333,2,0,0,NA,1,249,8,300,88,6.175094752579316e-4,0.28000665349791903,B1
Yangon,MMR013,Yangon (West),Ahlone,MMR013037,64567.03937827991,18078.75,18079.228976981663,1,5,3,1,1,0.02310818132966261,4,NA,16417.897215766207,0.13333333333333333,2,0,0,NA,1,172,8,255,46,0.001367274883750071,0.2799996743552349,B1
Yangon,MMR013,Yangon (West),Kyeemyindaing,MMR013038,129774.13988734195,36336.25,36337.24083314043,1,12,5,4,4,0.0474306965219871,9,NA,25023.19379775559,0.13333333333333333,2,0,0,NA,1,124,8,138,33,0.0027480684225769767,0.27999607650294434,B1
Yangon,MMR013,Yangon (West),Sanchaung,MMR013039,115931.36324979032,32461.25,32461.218291526653,3,18,19,20,7,0.13739325612619202,11,NA,41437.975050589426,0.13333333333333333,2,0,0,NA,1,43,8,160,34,0.002455006669163078,0.2800040393733463,A1
Yangon,MMR013,Yangon (West),Hlaing,MMR013040,186556.8721678007,52236.25,52236.07579312577,3,24,13,16,15,0.1277610758602224,23,NA,15756.03592309973,0.13333333333333333,2,0,0,NA,1,47,8,87,22,0.003950566972068846,0.2800017463469023,A1
Yangon,MMR013,Yangon (West),Kamaryut,MMR013041,98416.9632165703,27556.25,27557.2503016338,1,12,9,15,5,0.07482806818568806,5,NA,13067.089599074148,0.13333333333333333,2,0,0,NA,1,83,8,199,36,0.002084047210970775,0.27999492261675885,A1
Yangon,MMR013,Yangon (West),Mayangone,MMR013042,230553.5105502536,64555,64555.017045933484,2,22,5,11,9,0.07134658735786825,9,NA,7331.481312017441,0.2,3,0,0,NA,1,87,7,58,16,0.0048822197397765795,0.28000007393480564,A1
Yangon,MMR013,Yangon (West),Dagon,MMR013043,29189.115058686,8172.5,8173.04778384729,0,4,1,1,0,0.00937202207593651,0,NA,5123.846281563125,0.13333333333333333,2,0,0,NA,1,235,8,299,87,6.180766915548617e-4,0.2799845073606661,B1
Yangon,MMR013,Yangon (West),Bahan,MMR013044,112571.62418693941,31520,31519.94522775214,0,14,4,8,4,0.04562952973160109,4,NA,11413.415339108513,0.13333333333333333,2,0,0,NA,1,130,8,169,35,0.002383821023898347,0.27999951344449875,B1
Yangon,MMR013,Yangon (West),Seikkan,MMR013045,3288.7504647096184,921.25,921.1498942728779,NA,NA,NA,NA,NA,0,NA,NA,2408.6261431278886,0,NA,0,0,NA,1,298,10,318,238,6.967306847291726e-5,0.2801215871759192,B1
